id,categories
5354,Puzzle
5354,Educational
5393,Animals
5393,Card Game
5393,Real-time
5404,Economic
5404,Ancient
5406,Territory Building
5406,Economic
5419,Territory Building
5419,Ancient
5585,Card Game
5585,Children's Game
5585,Fantasy
5585,Movies / TV / Radio theme
5585,Novel-based
5588,Memory
5588,Racing
5588,Action / Dexterity
5588,Children's Game
5716,Card Game
5716,Aviation / Flight
5737,Medieval
5737,Territory Building
5740,Sports
5749,Memory
5749,Electronic
5749,Real-time
5758,Economic
5758,Negotiation
5758,Video Game Theme
5758,Movies / TV / Radio theme
5770,Children's Game
5770,Dice
5772,Party Game
5782,Animals
5782,Card Game
5867,Travel
5867,Educational
5869,Territory Building
5869,Medieval
5894,Action / Dexterity
5894,Children's Game
5894,Party Game
5895,Animals
5895,Children's Game
5895,Real-time
5895,Action / Dexterity
5966,Dice
6010,Children's Game
6249,Medieval
6249,City Building
6263,Card Game
6272,Memory
6272,Children's Game
6272,Dice
6272,Abstract Strategy
6284,Electronic
6284,Children's Game
6284,Animals
6351,Action / Dexterity
6351,Humor
6351,Animals
6351,Children's Game
6366,Fantasy
6366,Adventure
6366,Exploration
6366,Fighting
6366,Miniatures
6381,Animals
6381,Children's Game
6381,Card Game
6411,Abstract Strategy
6411,Territory Building
6472,Bluffing
6472,Fantasy
6472,Wargame
6472,Novel-based
6472,Negotiation
6472,Political
6535,Children's Game
6535,Humor
6535,Card Game
6541,Word Game
6541,Party Game
6549,Party Game
6549,Children's Game
6581,Modern Warfare
6581,Wargame
6581,Korean War
6644,Card Game
6688,Card Game
6714,Puzzle
6714,Children's Game
6748,Card Game
6830,Puzzle
6830,Abstract Strategy
6830,Deduction
6931,Abstract Strategy
6931,Children's Game
6931,Puzzle
6932,Farming
6932,Children's Game
6955,Sports
6955,Dice
6955,Print & Play
7262,Horror
7262,Humor
7262,Aviation / Flight
7262,Fantasy
7262,Card Game
7262,American West
7308,Action / Dexterity
7308,Science Fiction
7308,Children's Game
7475,Card Game
7480,Territory Building
7480,Ancient
7480,Political
7480,Wargame
7688,Children's Game
7688,Environmental
7688,Card Game
7688,Animals
7688,Movies / TV / Radio theme
7688,Comic Book / Strip
7708,Animals
7708,Children's Game
7708,Puzzle
7717,Medieval
7717,City Building
7803,Card Game
7805,Horror
7806,Bluffing
7806,Deduction
7806,Renaissance
7854,Abstract Strategy
7865,Educational
7865,Travel
7866,Educational
7866,Travel
